id,source_term,type,pinyin,label,curated_gloss
PRE_02526,小青龙汤,PRE,Xiaoqinglong Tang,Xiaoqinglong Tang,False
PRE_02527,异功散,PRE,Yigong San,Yigong San,False
PRE_02528,柴胡疏肝散,PRE,Chaihushugan San,Chaihushugan San,False
PRE_02529,胃苓汤,PRE,Weiling Tang,Weiling Tang,False
PRE_02530,蛤粉散,PRE,Gefen San,Gefen San,False
PRE_02531,导赤散,PRE,Daochi San,Daochi San,False
PRE_02532,消风散,PRE,Xiaofeng San,Xiaofeng San,False
PRE_02533,甘露饮,PRE,Ganlu Yin,Ganlu Yin,False
PRE_02534,百解散,PRE,Baijie San,Baijie San,False
PRE_02535,金匮肾气丸,PRE,Jinkuishenqi Wan,Jinkuishenqi Wan,False
PRE_02536,防风通圣散,PRE,Fangfengtongsheng San,Fangfengtongsheng San,False
PRE_02537,二味拔毒散,PRE,Erweibadu San,Erweibadu San,False
PRE_02538,保和丸,PRE,Baohe Wan,Baohe Wan,False
PRE_02539,八正散,PRE,Bazheng San,Bazheng San,False
PRE_02540,托里消毒散,PRE,Tuolixiaodu San,Tuolixiaodu San,False
PRE_02541,承气汤,PRE,Chengqi Tang,Chengqi Tang,False
PRE_02542,清咽利膈汤,PRE,Qingyanlige Tang,Qingyanlige Tang,False
PRE_02543,清营汤,PRE,Qingying Tang,Qingying Tang,False
PRE_02544,玄明粉,PRE,Xuanmingfen,Xuanmingfen,False
PRE_02545,知柏地黄汤,PRE,Zhibaidihuang Tang,Zhibaidihuang Tang,False
PRE_02546,肥儿丸,PRE,Feier Wan,Feier Wan,False
PRE_02547,萆渗湿汤,PRE,Bishenshi Tang,Bishenshi Tang,False
PRE_02548,蟾酥丸,PRE,Chansu Wan,Chansu Wan,False
PRE_02549,三仁汤,PRE,Sanren Tang,Sanren Tang,False
PRE_02550,导痰汤,PRE,Daotan Tang,Daotan Tang,False
PRE_02551,泻白散,PRE,Xiebai San,Xiebai San,False
PRE_02552,活命饮,PRE,Huoming Yin,Huoming Yin,False
PRE_02553,甘麦大枣汤,PRE,Ganmaidazao Tang,Ganmaidazao Tang,False
PRE_02554,至宝丹,PRE,Zhibaodan,Zhibaodan,False
PRE_02555,三黄洗剂,PRE,Sanhuang Xiji,Sanhuang Xiji,False
PRE_02556,二至丸,PRE,Erzhi Wan,Erzhi Wan,False
PRE_02557,冰硼散,PRE,Bingpeng San,Bingpeng San,False
PRE_02558,半夏汤,PRE,Banxia Tang,Banxia Tang,False
PRE_02559,大承气汤,PRE,Dachengqi Tang,Dachengqi Tang,False
PRE_02560,妙香散,PRE,Miaoxiang San,Miaoxiang San,False
PRE_02561,托里透脓汤,PRE,Tuolitounong Tang,Tuolitounong Tang,False
PRE_02562,济生肾气丸,PRE,Jishengshenqi Wan,Jishengshenqi Wan,False
PRE_02563,独参汤,PRE,Ducan Tang,Ducan Tang,False
PRE_02564,益黄散,PRE,Yihuang San,Yihuang San,False
PRE_02565,通窍活血汤,PRE,Tongqiaohuoxue Tang,Tongqiaohuoxue Tang,False
PRE_02566,万灵丹,PRE,Wanlingdan,Wanlingdan,False
PRE_02567,人参养荣汤,PRE,Renshenyangrong Tang,Renshenyangrong Tang,False
PRE_02568,八仙散,PRE,Baxian San,Baxian San,False
